%# net.balmeyer.qno.dico.DictionaryCSV					
texte	type	groupe	pluriel	feminin	femininpluriel
aplanir	v				
aplanissement	nm				
aplat	nm				
aplati	adj				
aplatir	v				
aplatissement	nm				
aplomb	nm				
apnee	nf				
apocalypse	nf				
apocalyptique	adj				
apocope	nf				
apocryphe	adj				
apogée	nm				
apolitique	adj				
apollon	nm				
apologétique	adj				
apologie	nf				
apologue	nm				
apophyse	nf				
apoplectique	nm				
apoplexie	nf				
apostasie	nf				
apostasier	v				
a posteriori	adj				
apostille	nf				
apostiller	v				
apostolat	nm				
apostolique	adj				
apostoliquement	adj				
apostrophe	nf				
apostropher	v				
apothéose	nf				
apothicaire	nm				
apotre	nm				
appalachien	nm				
apparaître	vi				
apparat	nm				
appareil	nm				
appareillage	nm				
appareillement	nm				
appareiller	v				
appareil photographique	nm				
apparemment	adj				
apparence	nf				
apparent	adj				
apparenté	adj				
apparenter (s')	null				
appariement	nm				
apparier	v				
appariteur	nm				
apparition	nf				
apparoir	vi				
appartement	nm				
appartenance	nf				
appartenir	v				
appas	nm				
appat	nm				
appater	v				
appauvrir	v				
appauvrissement	nm				
appeau	nm				
appel	nm				
appel de note	nm				
appel d'offres	nm				
appeler	v				
appel (formules d')	null				
appellation	nf				
appendice	nm				
appendicectomie	nf				
appendicite	nf				
appentis	nm				
appert (il)	null				
appesantir	v				
appesantissement	nm				
appetence	nf				
appetissant	adj				
appetit	nm				
applaudir	v				
applaudissement	nm				
applicabilité	nf				
applicable	adj				
applicateur	nm				
application	nf				
applique	nf				
appliqué	adj				
appliquer	v				
appoint	nm				
appointements	nm				
appontage	nm				
appontement	nm				
apponter	vi				
apport	nm				
apporter	v				
apposer	v				
apposition	nf				
appréciable	adj				
appréciateur	nm				
appréciatif	adj				
appréciation	nf				
apprécier	v				
appréhender	v				
appréhension	nf				
apprendre	v				
apprenti	nm				
apprentissage	nm				
apprêt	nm				
apprêté	adj				
apprêter	v				
apprivoisable	adj				
apprivoisement	nm				
apprivoiser	v				
approbateur	nm				
approbatif	adj				
approbation	nf				
approchable	adj				
approchante	adj				
approche	nf				
approcher	v				
approfondir	v				
approfondissement	nm				
appropriation	nf				
approprié	adj				
approprier	v				
approuvable	adj				
approuver	v				
approvisionnement	nm				
approvisionner	v				
approximatif	adj				
approximation	nf				
approximativement	adj				
appui	nm				
appui-	null				
appui-bras	nm				
appui-livres	nm				
appui-main	nm				
appui-nuque	nm				
appui-tête	nm				
appuyer	v				
apre	adj				
aprement	adj				
apres	adj				
apres-demain	adj				
apres-guerre	nm				
apres Jésus-Christ	null				
apres-midi	nm				
apres-rasage	nm				
apres-ski	nm				
apres-vente	adj				
apreté	nf				
a priori	nm				
aprioriste	nm				
apr. J.-C.	null				
a-propos	nm				
apte	adj				
aptitude	nf				
apurement	nm				
apurer	v				
aqua-	null				
aquafortiste	nm				
aquaplanage	nm				
aquaplane	nm				
aquarelle	nf				
aquarelliste	nm				
aquarium	nm				
aquatique	adj				
aqueduc	nm				
aqueux	adj				
aquiculture	nf				
a qui de droit	null				
aquilin	adj				
aquilon	nm				
ara	nm				
arabe	nm				
arabesque	nf				
arabique	adj				
arabisant	nm				
arabisation	nf				
arabiser	v				
arable	adj				
arabophone	nm				
arachide	nf				
arachnéen	adj				
araignée	nf				
arak	nm				
araméen	nm				
aratoire	adj				
arbalète	nf				
arbalétrier	nm				
arbalétrière	nf				
arbitrage	nm				
arbitragiste	nm				
arbitraire	nm				
arbitrairement	adj				
arbitral	adj				
arbitre	nm				
arbitrer	v				
arborer	v				
arborescence	nf				
arborescent	adj				
arboricole	adj				
arboriculteur	nm				
arboriculture	nf				
arborisation	nf				
arbre	nm				
arbrisseau	nm				
arbuste	nm				
arc	nm				
arcade	nf				
arcane	nm				
arc-boutant	nm				
arc-bouter	v				
arceau	nm				
arc-en-ciel	nm				
archaïque	adj				
archaïsant	adj				
archaïsme	nm				
archange	nm				
arche	nf				
archéo-	null				
archéologie	nf				
archéologique	adj				
archéologue	nm				
archer	nm				
archère	nf				
archet	nm				
archétype	nm				
archevêché	nm				
archevêque	nm				
archi-	null				
archiduc	nm				
-archie	null				
archimillionnaire	nm				
archipel	nm				
architecte	nm				
architectonique	nf				
architectural	adj				
architecture	nf				
archiver	v				
archives	nf				
archiviste	nm				
arcon	nm				
arctique	nm				
-ard	null				
ardemment	adj				
ardent	adj				
ardeur	nf				
ardillon	nm				
ardoise	nf				
ardoisé	adj				
ardu	adj				
are	nm				
arec	nm				
arene	nf				
areole	nf				
areopage	nm				
arete	nf				
argent	nm				
argenté	adj				
argenter	v				
argenterie	nf				
argentier	nm				
argentin	nm				
argenture	nf				
argile	nf				
argileux	adj				
argot	nm				
argotique	adj				
argotisme	nm				
arguer	v				
argument	nm				
argumentaire	nm				
argumentation	nf				
argumenter	v				
argutie	nf				
aria	nm				
arianisme	nm				
aride	adj				
aridité	nf				
arien	nm				
aristocrate	nm				
aristocratie	nf				
aristocratique	adj				
arithmétique	nf				
arlequin	nm				
arlequinade	nf				
armagnac	nm				
armateur	nm				
armature	nf				
arme	nf				
arme	adj				
armee	nf				
armement	nm				
armenien	nm				
armer	v				
armistice	nm				
armoire	nf				
armoiries	nf				
armorial	nm				
armorier	v				
armure	nf				
armurerie	nf				
armurier	nm				
A.R.N.	null				
arnaque	nf				
arnaquer	v				
aromate	nm				
aromatique	adj				
aromatiser	v				
arome	nm				
arpege	nm				
arpeger	v				
arpent	nm				
arpentage	nm				
arpenter	v				
arpenteur	nm				
-arque	null				
arquebuse	nf				
arquebusier	nm				
arquer	v				
arraché	nm				
arrache-clou	nm				
arrachement	nm				
arrache-pied (d')	adj				
arracher	v				
arrache-racine(s)	nm				
arracheur	nm				
arraisonnement	nm				
arraisonner	v				
arrangeable	adj				
arrangeant	adj				
arrangement	nm				
arranger	v				
arrerages	nm				
arrestation	nf				
arret	nm				
arreté	nm				
arreter	v				
arrhes	nf				
arriération	nf				
arrière	nm				
arriéré	nm				
arrière-bouche	nf				
arrière-boutique	nf				
arrière-cour	nf				
arrière-garde	nf				
arrière-gorge	nf				
arrière-goût	nm				
arrière-grand-mère	nf				
arrière-grand-père	nm				
arrière-pays	nm				
arrière-pensée	nf				
arrière-petite-fille	nf				
arrière-petit-fils	nm				
arrière-petits-enfants	nm				
arrière-plan	nm				
arriérer	v				
arrière-saison	nf				
arrière-salle	nf				
arrière-train	nm				
arrimage	nm				
arrimer	v				
arrivage	nm				
arrivant	nm				
arrivé	adj				
arrivée	nf				
arriver	vi				
arrivisme	nm				
arriviste	nm				
arrogance	nf				
arrogant	adj				
arroger (s')	null				
arrondi	nm				
arrondir	v				
arrondissement	nm				
arrosage	nm				
arroser	v				
arroseur	nm				
arrosoir	nm				
arsenal	nm				
arsenic	nm				
arsenical	adj				
art	nm				
art.	null				
artere	nf				
arteriel	adj				
arteriosclérose	nf				
artesien	adj				
arthrite	nf				
arthritique	nm				
arthrose	nf				
artichaut	nm				
article	nm				
articulaire	adj				
articulation	nf				
articulé	adj				
articuler	v				
artifice	nm				
artificiel	adj				
artificiellement	adj				
artificier	nm				
artificieusement	adj				
artificieux	adj				
artillerie	nf				
artilleur	nm				
artisan	nm				
artisanal	adj				
artisanalement	adj				
artisanat	nm				
artiste	nm				
artistement	adj				
artiste peintre	nm				
artistique	adj				
artistiquement	adj				
aruspice	null				
aryen	nm				
As	null				
as	nm				
ascendance	nf				
ascendant	nm				
ascenseur	nm				
ascension	nf				
ascensionnel	adj				
ascese	nf				
ascete	nm				
ascetique	adj				
ascetisme	nm				
asemantique	adj				
asepsie	nf				
aseptique	adj				
aseptisation	nf				
aseptiser	v				
asexué	adj				
asiatique	nm				
asile	nm				
asocial	nm				
aspect	nm				
asperge	nf				
asperger	v				
asperité	nf				
asphaltage	nm				
asphalte	nm				
asphalter	v				
asphodèle	nm				
asphyxie	nf				
asphyxier	v				
aspic	nm				
aspirant	nm				
aspirateur	nm				
aspiration	nf				
aspiration du h	null				
aspiratoire	adj				
aspirer	v				
assagir	v				
assagissement	nm				
assaillant	nm				
assaillir	v				
assainir	v				
assainissement	nm				
assaisonnement	nm				
assaisonner	v				
assassin	nm				
assassinat	nm				
assassiner	v				
assaut	nm				
-asse	null				
assechement	nm				
assecher	v				
assemblage	nm				
assemblée	nf				
assembler	v				
assener	v				
assentiment	nm				
asseoir	v				
assermenter	v				
assertion	nf				
asservir	v				
asservissement	nm				
assez	adj				
assidu	adj				
assiduité	nf				
assidûment	adj				
assiégé	nm				
assiégeant	nm				
assiéger	v				
assiette	nf				
assiettée	nf				
assignation	nf				
assigner	v				
assimilable	adj				
assimilation	nf				
assimilé	adj				
assimiler	v				
assise	nf				
assistance	nf				
assistant	nm				
assisté	nm				
assister	v				
associatif	adj				
association	nf				
Association française de normalisation	null				
associé	nm				
associer	v				
assoiffé	nm				
assolement	nm				
assoler	v				
assombrir	v				
assombrissement	nm				
assommant	adj				
assommer	v				
assonance	nf				
assonancé	adj				
assorti	adj				
assortiment	nm				
assortir	v				
assoupir	v				
assoupissement	nm				
assouplir	v				
assouplissement	nm				
assourdir	v				
assourdissement	nm				
assouvir	v				
assouvissement	nm				
assujetti	nm				
assujettir	v				
assujettissement	nm				
assumer	v				
assurable	adj				
assurance	nf				
assurance-maladie	null				
assurance multirisque	null				
assurance tous risques	null				
assurance-vie	nf				
assuré	nm				
assurément	adj				
assurer	v				
assureur	nm				
aster	nm				
asterie	nf				
asterisque	nm				
asteroïde	nm				
asthénie	nf				
asthénique	nm				
asthmatique	nm				
asthme	nm				
asticot	nm				
asticoter	v				
astigmate	nm				
astigmatisme	nm				
astiquer	v				
astragale	nm				
astrakan	nm				
astral	adj				
astre	nm				
astreignant	adj				
astreindre	v				
astreinte	nf				
astringent	nm				
astrolabe	nm				
astrologie	nf				
astrologique	adj				
astrologue	nm				
astronaute	nm				
astronautique	nf				
astronef	nm				
astronmie	nf				
astronome	nm				
astronomique	adj				
astrophysicien	nm				
astrophysique	nf				
astuce	nf				
astucieusement	adj				
astucieux	adj				
asymétrie	nf				
asymétrique	adj				
asynchrone	adj				
ataca	null				
ataraxie	nf				
atavique	adj				
atavisme	nm				
ataxie	nf				
ataxique	nm				
atelier	nm				
atelier de réparation	nm				
atemporel	adj				
atermoiement	nm				
atermoyer	vi				
athee	nm				
atheisme	nm				
atherosclérose	nf				
athlète	nm				
athlétique	adj				
athlétisme	nm				
atlante	nm				
atlantique	adj				
atlas	nm				
atmosphère	nf				
atmosphérique	adj				
atoca	nm				
atoll	nm				
atome	nm				
atomique	adj				
atomisé	nm				
atomiser	v				
atomiseur	nm				
atone	adj				
atonie	nf				
atours	nm				
atout	nm				
a toutes fins utiles	null				
atrabilaire	adj				
atrabile	nf				
-atre	null				
atre	nm				
atrium	nm				
atroce	adj				
atrocement	adj				
atrocité	nf				
atrophie	nf				
atrophier (s')	null				
attabler (s')	null				
attachant	adj				
attache	nf				
attaché	nm				
attaché-case	nm				
attachement	nm				
attacher	v				
attaquable	adj				
attaquant	nm				
attaque	nf				
attaquer	v				
attardé	nm				
attarder (s')	null				
atteindre	v				
atteinte	nf				
attelage	nm				
atteler	v				
attelle	nf				
attenant	adj				
attendre	v				
attendrir	v				
attendrissant	adj				
attendrissement	nm				
attendu	nm				
attentat	nm				
attente	nf				
attenter	v				
attentif	adj				
attention	nf				
attention de (à l')	null				
attentionné	adj				
attentisme	nm				
attentiste	nm				
attentivement	adj				
attenuant	adj				
attenuation	nf				
attenuer	v				
atterrer	v				
atterrir	vi				
atterrissage	nm				
attestation	nf				
attester	v				
attiédir	v				
attifer	v				
attirail	nm				
attirance	nf				
attirant	adj				
attirer	v				
attiser	v				
attitré	adj				
attitude	nf				
atto-	null				
attouchement	nm				
attractif	adj				
attraction	nf				
attrait	nm				
attrape	nf				
attrape-mouches	nm				
attrape-nigaud	nm				
attraper	v				
attrayant	adj				
attribuable	adj				
attribuer	v				
attribut	nm				
attributaire	nm				
attribution	nf				
attrister	v				
attrition	nf				
attroupement	nm				
attrouper	v				
atypique	adj				
Au	null				
au	null				
aubade	nf				
aubaine	nf				
aube	nf				
aubepine	nf				
auberge	nf				
aubergine	nf				
aubergiste	nm				
auburn	adj				
aucun	adj				
aucunement	adj				
audace	nf				
audacieusement	adj				
audacieux	nm				
au-dedans	adj				
au-dehors	adj				
au-delà	nm				
au-dessous	adj				
au-dessus	adj				
au-devant	adj				
audibilité	nf				
audible	adj				
audience	nf				
audio-	null				
audiogramme	nm				
audiologie	nf				
audionumérique	adj				
audiovisuel	nm				
audit	nm				
auditeur	nm				
auditif	adj				
audition	nf				
auditionner	v				
auditoire	nm				
auditorium	nm				
au fur et à mesure	null				
auge	nf				
augmentation	nf				
augmenter	v				
augure	nm				
augurer	v				
auguste	adj				
aujourd'hui	nm				
aulnaie	nf				
aulne	nm				
aumone	nf				
aumonerie	nf				
aumonier	nm				
aumonière	nf				
aunaie	null				
aune	nf				
aune	null				
auparavant	adj				
auprès	adj				
auprès de	null				
auquel	null				
aura	nf				
aureole	nf				
aureoler	v				
auriculaire	nm				
aurifère	adj				
aurochs	nm				
aurore	nf				
auscultation	nf				
ausculter	v				
auspices	nm				
aussi	adj				
aussitôt	adj				
austère	adj				
austérité	nf				
austral	nm				
austral	adj				
australien	nm				
australopithèque	nm				
autant	adj				
autarcie	nf				
autel	nm				
auteur	nm				
authenticité	nf				
authentification	nf				
authentifier	v				
authentique	adj				
authentiquement	adj				
autisme	nm				
autiste	nm				
autistique	adj				
auto	nf				
auto-	null				
autoaccusation	nf				
autoadhésif	adj				
autoalarme	nm				
autoallumage	nm				
autoamorçage	nm				
autoanalyse	nf				
autoberge	nf				
autobiographie	nf				
autobiographique	adj				
autobus	nm				
autocar	nm				
auto-caravane	nf				
autocensure	nf				
autochenille	nf				
autochtone	nm				
autocinétique	adj				
autoclave	nm				
autocollant	nm				
autoconsommation	nf				
autocouchette	adj				
autocrate	nm				
autocratie	nf				
autocratique	adj				
autocritique	nf				
autocuiseur	nm				
autodafé	nm				
autodéfense	nf				
autodestruction	nf				
autodétermination	nf				
autodidacte	nm				
autodirecteur	adj				
autodiscipline	nf				
autodrome	nm				
auto-école	nf				
autoélévateur	adj				
autofécondation	nf				
autofinancement	nm				
autofinancer (s')	null				
autogestion	nf				
autographe	nm				
autoguidage	nm				
autoguidé	adj				
auto-immunitaire	adj				
auto-immunité	nf				
auto-induction	nf				
automate	nm				
automaticité	nf				
automatique	adj				
automatiquement	adj				
automatisation	nf				
automatiser	v				
automatisme	nm				
automnal	adj				
automne	nm				
automobile	nf				
automobiliste	nm				
autonettoyant	adj				
autonome	adj				
autonomie	nf				
autonomiste	nm				
autoportrait	nm				
autopropulsé	adj				
autopsie	nf				
autopsier	v				
autoradio	nm				
autoréglage	nm				
autorégulation	nf				
autorisation	nf				
autorisé	adj				
autoriser	v				
autoritaire	adj				
autoritarisme	nm				
autorité	nf				
autoroute	nf				
autoroute à péage	nf				
autoroutier	adj				
